PROTOCOL,REGEX_PATTERN,Label,VENDOR,DEVICE_TYPE,DEVICE_MODEL,OS,
http,'TEW-733GR','IoT','Trendnet','Router','TEW-733GR','embedded',
http,'ENDEAVOR264L','IoT','EverFocus','DVR','ENDEAVOR264L','embedded',
http,'PHICOMM-PSG1218','IoT','PHICOMM','Router','PSG1218','embedded',
http,'LINKSYS1900A','IoT','LINKSYS','Router','AC1900A','embedded',
http,'BEFSX41','IoT','LINKSYS','Router','BEFSX41','embedded',
http,'DNR-202L','IoT','D-link','DVR','DNR-202L','embedded',
http,'DI-LB604','IoT','D-link','Load Balancing Router','DI-LB604','embedded',
http,'Basic realm="NETGEAR (VVG\d{4})"','IoT','NETGEAR','Router',match.group(1),'embedded',
http,'CGA2121','IoT','Technicolor','Gateway','CGA2121','embedded',
ssl,'Technicolor Gateway - Home','IoT','Technicolor','Gateway','Unknown','embedded',
http,'Basic realm="TP-LINK Wireless N 3G/4G Router MR3420"','IoT','TP-LINK','3G Router','MR3420','embedded',
http,'Basic realm="TP-LINK Wireless Lite N 3G/4G Router MR3220"','IoT','TP-LINK','3G Router','MR3220','embedded',
ssl,'TL-MR3420','IoT','TP-LINK','3G Router','MR3420','embedded',
ssl,'(R[RN]\d{3}\dX?)','IoT','Netgear','NAS',match.group(1),'embedded',
http,'(R[RN]\d{3}\dX?)','IoT','Netgear','NAS',match.group(1),'embedded',
telnet,'(R[RN]\d{3}\dX?)','IoT','Netgear','NAS',match.group(1),'embedded',
ssl,'WIN-','Desktop','Microsoft','Windows','Windows','Windows',
ssl,'DESKTOP-','Desktop','Microsoft','Windows','Windows','Windows',
http,'SBG6580','IoT','ARRIS','Cable Modem Router','SBG6580','embedded',
http,'Basic realm="NETGEAR (D[CG]\d{3}\w?)','IoT','NETGEAR','ADSL Modem Router',match.group(1),'embedded',
http,'AV-TECH AV787 Video Web Server','IoT','AvTech','IP Camera','AV787','embedded',
http,'Basic realm="NETGEAR (R\d{4}\w?)"','IoT','NETGEAR','3G Router',match.group(1),'embedded',
http,'Basic realm="MI-R3G"','IoT','Xiaomi','3G Router','MI-R3G','embedded',
ftp,'Welcome to MI-R3G FTP service','IoT','Xiaomi','3G Router','MI-R3G','embedded',
http,'Digest realm="Westell Secure"','IoT','Westell','Router','Unknown','embedded',
http,'Digest realm="ActiontecBHR"','IoT','actiontec','Router','Unknown','embedded',
http,'Basic realm="Linksys (E\d{4})"','IoT','Linksys','Router',match.group(1),'embedded',
http,'Basic realm="E900"','IoT','Linksys','Router','E900','embedded',
http,'ZyXEL Keenetic','IoT','Keenetic','Router','Unknown','embedded',
http,'Basic realm="(E\d{4})"','IoT','Linksys','Router',match.group(1),'embedded',
http,'Basic realm="Linksys (WAG\d{2}\d?\w)','IoT','Linksys','Router',match.group(1),'embedded',
http,'Basic realm="Thomson Gateway"','IoT','Thomson','Gateway','Unknown','embedded',
telnet,'ZXV10 H108L','IoT','ZTE','Router','ZXV10 H108L','embedded',
http,'(H\d{3}[AL]).*ZTE','IoT','ZTE','Router',match.group(1),'embedded',
http,'ZXV10','IoT','ZTE','Router','ZXV10','embedded',
http,'ZTE.*E5501','IoT','ZTE','Router','E5501','embedded',
http,'RX3041','IoT','ASUS','Router','RX3041','embedded',
telnet,'FRITZ!Box','IoT','AVM','Router','FritzOS','embedded',
telnet,'I-040GW','IoT','Alcatel-Lucent','Router','I-040GW','embedded',
telnet,'RV6699','IoT','SerComm','Router','RV6699','embedded',
telnet,'iGate (GW\d{3}) wireless ONT','IoT','iGate','GPON',match.group(1),'embedded',
http,'iGate (GW\d{3}) GPON ONT','IoT','iGate','GPON',match.group(1),'embedded',
telnet,'LANCOM vRouter','IoT','LANCOM','Router','Unknown','embedded',
telnet,'NetComm VDSL2 N300 WiFi Router','IoT','NetComm','Router','N300','embedded',
telnet,'MRD-310','IoT','Westermo','ICS','MRD-310','embedded',
telnet,'(FVS\d{3}G)','IoT','Netgear','Router',match.group(1),'embedded',
telnet,'(AC[1-5]?\d{3})','IoT','Netgear','Router',match.group(1),'embedded',
telnet,'(R\d{4}V)','IoT','Netgear','Router',match.group(1),'embedded',
http,'(R\d{4}V)','IoT','Netgear','Router',match.group(1),'embedded',
telnet,'RV6699','IoT','SerComm','Router','RV6699','embedded',
telnet,'SXTGAC200-AP','IoT','SEGURO','Baby Monitors','SXTGAC200-AP','embedded',
telnet,'RAW300L','IoT','Digicom','Router','RAW300L','embedded',
telnet,'(NBG-\d{3}N)','IoT','ZyXEL','Router',match.group(1),'embedded',
http,'(NBG-\d{3}N)','IoT','ZyXEL','Router',match.group(1),'embedded',
telnet,'(ZNID-GPON-\d{4})','IoT','Zhone','GPON',match.group(1),'Unknown'
telnet,'(ZNID-GE-\d{4})','IoT','Zhone','ONT Router',match.group(1),'Unknown'
telnet,'(DS\d{3}\d?[A-Z]?)','IoT','Synology','NAS',match.group(1),'embedded',
http,'(DS\d{3}\d?[A-Z]?)','IoT','Synology','NAS',match.group(1),'embedded',
ftp,'(DS\d{3}\d?[A-Z]?)','IoT','Synology','NAS',match.group(1),'embedded',
telnet,'(MT76\d{2})','IoT','MediaTek ','Router',match.group(1),'embedded',
telnet,'cisco2911','IoT','Cisco ','Integrated Services Router','cisco 2911','embedded',
telnet,'AC886M','IoT','LB-LINK','Router','AC886M','embedded',
telnet,'(TAU-\d{1}M.IP)','IoT','Eltex','VoIP',match.group(1),'embedded',
telnet,'(RG-\d{4}G)','IoT','Eltex','Router',match.group(1),'embedded',
http,'(RG-\d{4}G)','IoT','Eltex','Router',match.group(1),'embedded',
telnet,'TVIP STB \((S\d{3}\w?)\)','IoT','TVIP','TVIP S-Box mediacenters',match.group(1),'embedded',
telnet,'AC960','IoT','yuncore','Wifi Access Point','AC960','embedded',
telnet,'Ex3300','IoT','Juniper','Firwall','Ex3300','embedded',
telnet,'W120G','IoT','Linksys','ADSL Modem Router','W120G','embedded',
telnet,'D301','IoT','Tenda','ADSL Modem Router','D301','embedded',
telnet,'(WA\d{3}N)','IoT','leguang','Unknown',match.group(1),'embedded',
telnet,'OpenEmbedded Linux','IoT','Unknown','Unknown','Unknown','OpenEmbedded Linux',
telnet,'(US16\d{2})','IoT','ZTE','Firwall',match.group(1),'embedded',
telnet,'(UR-[0-9]{3}[A-Z]?[0-9]?[A-Z]?)','IoT','UPVEL','Router',match.group(1),'embedded',
telnet,'NAS2e','IoT','ipTime','NAS','Unknown','embedded',
telnet,'(DSL-\d+\w?)','IoT','D-Link','Router',match.group(1),'embedded',
http,'(DSL-\d+\w?)','IoT','D-Link','Router',match.group(1),'embedded',
telnet,'(VMG\d{4})','IoT','ZyXEL','Router',match.group(1),'embedded',
telnet,'(Air[0-9]{4}[A-Z]?[A-Z]?)','IoT','Airties','Router',match.group(1),'embedded',
telnet,'(srx-\d+)','IoT','Juniper','Firwall',match.group(1),'embedded',
telnet,'(SRX\d{3}\d?)','IoT','Juniper','Firwall',match.group(1),'embedded',
ftp,'(srx-\d+)','IoT','Juniper','Firwall',match.group(1),'embedded',
ftp,'(SRX\d{3}\d?)','IoT','Juniper','Firwall',match.group(1),'embedded',
telnet,'(Netis\(WF\d{4}[A-Z]?\))','IoT','netis','Wireless Router',match.group(1),'embedded',
telnet,'(H\d{3}[NL])','IoT','ZTE','Router',match.group(1),'embedded',
http,'ZTE.*(H\d{3}[NL]?)','IoT','ZTE','Router',match.group(1),'embedded',
telnet,'AC7000','IoT','Virdi','Face & Fingerprint Terminal','AC7000','Android',
telnet,'(Fortigate-\d?-\d?)','IoT','Fortigate','Firwall',match.group(1),'embedded',
telnet,'Fortigate-100A','IoT','Fortigate','Firwall','Fortigate-100A','embedded',
telnet,'(FG\d{2}\d?[A-Z]+)','IoT','Fortinet','Firwall',match.group(1),'embedded',
telnet,'(FGT\d+[A-Z]?)','IoT','Fortinet','Firwall',match.group(1),'embedded',
telnet,'(FWF\d+[A-Z]?)','IoT','Fortinet','Firwall',match.group(1),'embedded',
telnet,'(FAC\d{4})','IoT','yuncore','AC Controller',match.group(1),'embedded',
telnet,'CimFax','IoT','CimFax','Fax','Unknown','embedded',
telnet,'220 ipTIME_FTPD','IoT','netis','NAS','Unknown','embedded',
telnet,'MikroTik','IoT','MikroTik','Router','Unknown','embedded',
telnet,'USG40','IoT','ZyXE','Firwall','USG40','embedded',
telnet,'EBG2800','IoT','ZTE','Unified Communication','ZXECS EBG2800','embedded',
telnet,'(WR[24]000A?)','IoT','LB-LINK','Router',match.group(1),'embedded',
telnet,'SMCWBR14S-','IoT','SMC','Router','SMCWBR14S','embedded',
telnet,'WR-AC1200','IoT','TP-Link','Router','AC1200','embedded',
telnet,'Aruba3400','IoT','Aruba','Mobility Controller','Aruba 3400','embedded',
telnet,'H640GW','IoT','Dasan','GPON','H640GW','embedded',
telnet,'SUSE Linux','Desktop','Linux','Unknown','SUSE Linux','SUSE Linux',
telnet,'x86_64','Desktop','Unknown','Unknown','Unknown','embedded',
telnet,'ONECAST OMAP-L138','IoT','ONECAST','Unknown','Unknown','embedded',
telnet,'(WF[0-9]{4}[A-Z]?)','IoT','netis','Router',match.group(1),'embedded',
telnet,'(MD[0-9]{3})','IoT','netis','Router',match.group(1),'embedded',
telnet,'DNS-320L','IoT','D-Link','NAS','DNS-320L','embedded',
telnet,'HDDM-ND24IP','IoT','Blonder Tongue','Network Decoder','ND-24-IP','embedded',
telnet,'EZ960lite4','IoT','Hikvision','IP camera','EZ960lite4','embedded',
telnet,'FG1060N','IoT','Lifetrons','Travel Router','FG-1060N','embedded',
telnet,'(TD-W[0-9]{4}[A-Z]?)','IoT','TP-LINK','Router',match.group(1),'embedded',
http,'(TD-W[0-9]{4}[A-Z]?)','IoT','TP-LINK','Router',match.group(1),'embedded',
telnet,'WR9000','IoT','GRAPHTEC','Thermal Arraycorder','WR9000','embedded',
telnet,'MT-WR760N','IoT','mt-link','Router','MT-WR760N','embedded',
telnet,'(Hi\d{4}M)','IoT','Hisilicon','NVR',match.group(1),'embedded',
telnet,'(ZMM[0-9]{3})','IoT','ZKteco','time attendance',match.group(1),'embedded',
telnet,'(F\d{3}[A-Z]?)','IoT','ZTE','Router',match.group(1),'embedded',
http,'(F\d{3}[A-Z]?)','IoT','ZTE','Router',match.group(1),'embedded',
http,'(\sF\d{3}[A-Z]?)','IoT','ZTE','Router',match.group(1),'embedded',
telnet,'(Innbox V[0-9]+) Home Gateway AnnexA','IoT','iskratel','Gateway',match.group(1),'embedded',
telnet,'Innbox G2426A','IoT','iskratel','Gateway','Innbox G2426A','embedded',
telnet,'Innbox G64 Home Gateway','IoT','iskratel','Gateway','Innbox G64','embedded',
http,'Innbox G2400 Series Gateway','IoT','iskratel','Gateway','Innbox G2400','embedded',
http,'Gepon-ONU-1GZ-V3','IoT','ZTE','GEPON','Innbox G2400','embedded',
http,'Basic realm="ZHONE G2400 Series Gateway"','IoT','Zhone','Gateway','G2400','embedded',
telnet,'vuultimo4k','IoT','Vuplus','UHD Receiver','vuultimo4k','embedded',
telnet,'STMicroelectronics','IoT','STMicroelectronics','Unknown','Unknown','Unknown',
telnet,'PMG2005-T20B','IoT','ZYXEL','GPON','PMG2005-T20B','Unknown',
telnet,'TM02','IoT','HooToo','Travel Router','TripMate Nano (HT-TM02)','OpenWRT',
telnet,'WD02','IoT','RavPower','Travel Router','AC750 Wireless Travel Router','OpenWRT',
telnet,'ZLM60','IoT','ZKteco','time attendance','UA760/UA860','ZLM60',
telnet,'H3C Tech','IoT','H3C','router','Unknown','Unknown',
http,'H3C httpd','IoT','H3C','router','Unknown','Unknown',
telnet,'H3C login:','IoT','H3C','router','Unknown','Unknown',
ssl,'H3C','IoT','H3C','router','Unknown','Unknown',
sip,'Asterisk\sPBX\s+([\w\-\.]*)\s','IoT','Asterisk','private branch exchange',match.group(1),'embedded',
http,'(DCS-\d{3}\w{1})','IoT','D-Link','webcam',match.group(1),'embedded',
http,'(DSR-\d{3}\w?)','IoT','D-Link','Router',match.group(1),'embedded',
http,'(DIR\-\d{3}[\w+]?)','IoT','D-Link','WAP',match.group(1),'embedded',
all,'(RT-[AN]\w+\-?\w*)','IoT','ASUS','WAP',match.group(1),'embedded',
sip,'Server:\s(.*)/v\.\d\.\d{2}A\.\d{3}\.\d{3}','IoT',Audiocodes,VoIP Gateway,match.group(1),'embedded',
telnet,'(BCM\d{5})','IoT','Broadcom','ADSL router',match.group(1),'embedded',
telnet,BCM-J,'IoT','Broadcom','ADSL router','BCM-J','embedded',
sip,'\((QUADROM?-.*)\)','IoT','Epygi Quadro',VoIP Gateway,match.group(1),'embedded',
sip,'\((QX-.*)\)','IoT','Epygi Quadro',VoIP Gateway,match.group(1),'embedded',
all,'(Tomcat\s+[0-9.]+)','Desktop',Apache,'software',match.group(1),'Unknown'
sip,'(Kamailio\s+[0-9.]+)','IoT',Calloco-Dev,server,match.group(1),'Unknown'
http,'(Firewall[-0-9]+)','IoT',Check Point,firewall,match.group(1),'Unknown'
smtp,'(Firewall[-0-9]+)','IoT',Check Point,firewall,match.group(1),'Unknown'
http,'(VPN[-0-9/]+[A-Z]+\s[A-Z]+)','IoT',Check Point,firewall,match.group(1),'Unknown'
ftp,'(Disk\sStation\s[A-Z]+[-0-9]+)','IoT',Synology,NAS,match.group(1),'Unknown'
http,'(DSL/DSL/[0-9]+)','IoT',Lancom,router,match.group(1),'Unknown'
all,'([0-9]+\sEnterprise\sEdition)','IoT','Unknown',Control Center,match.group(1),'Unknown'
http,'(3CRWE[0-9A-Z]+)','IoT',3Com,WAP,match.group(1),'Unknown'
http,'(5500G[-A-Z0-9]+)','IoT',3Com,switch,match.group(1),'Unknown'
http,'(Baseline\s[0-9-]+[A-Z])','IoT',3Com,switch,match.group(1),'Unknown'
http,'(SuperStack\s[0-9]+\s[A-Z]+)','IoT',3Com,switch,match.group(1),'Unknown'
http,'(3m-[0-9]+)','IoT',3M Filtrete,thermostat,match.group(1),'Unknown'
http,'(4FXS\sATA[0-9]+)','IoT',CISCO,VoIP adapter,match.group(1),'Unknown'
http,'(Aastra\s[0-9]+[a-z]+)','IoT',Aastra,VoIP phone,match.group(1),'Unknown'
http,'(UFax[0-9]*\s[A-Z]+)','IoT',Aineton,printer,match.group(1),'Unknown'
ftp,'(Alcatel-Lucent\s[0-9]+)','IoT',Alcatel-Lucent,router,match.group(1),'Unknown'
http,'(wl-[0-9]+[a-z]*)','IoT',ASUS,WAP,match.group(1),'Unknown'
telnet,'(P[0-5]{3}[A-Z]*)','IoT',Avaya,switch,match.group(1),'Unknown'
rtsp,'(AXIS\s[0-9]+[A-Z]*)','IoT',AXIS,network camera,match.group(1),'Unknown'
rtsp,'(PTZ\s[0-9]+)','IoT','Unknown',network camera,match.group(1),'Unknown'
ftp,'([0-9]{3}[A-Z])','IoT',AXIS,network camera,match.group(1),'Unknown'
ftp,'(AXIS\s2120)','IoT',AXIS,network camera,match.group(1),'Unknown'
ftp,'(AXIS\s22FD)','IoT',AXIS,camera,match.group(1),'Unknown'
ftp,'([0-9]{3}[A-Z]\sBlade])','IoT',AXIS,video server,match.group(1),'Unknown'
http,'(5400)','IoT',AXIS,print server,match.group(1),'Unknown'
ftp,'([A-Z][0-9]{4}[-][A-Z]+\s?[A-Za-z])','IoT',AXIS,network camera,match.group(1),'Unknown'
telnet,'([A-Z][0-9]{4}[-][A-Z]+\s?[A-Za-z])','IoT',Baystack,switch,match.group(1),'Unknown'
http,'(UR5i\s?v[0-9])','IoT',B&B Electronic,router,match.group(1),'Unknown'
http,'(Belkin\s2307)','IoT',Belkin,wifi router,match.group(1),'Unknown'
http,'(F[0-9][A-Z][0-9]{4}[-]?[0-9]?)','IoT',Belkin,WAP,match.group(1),'Unknown'
all,'(BiPac\s?[0-9]{4}[A-Z])','IoT',Billion,router,match.group(1),'Unknown'
telnet,'([bintec]+?\s?RS[0-9]{3}[a-z]*)','IoT',Funkwerk,ADSL router,match.group(1),'Unknown'
telnet,'([A-Z]{2}[0-9]{3}\sBlade)','IoT',Fujitsu,chassis manager,match.group(1),'Unknown'
ftp,'(EB[-][0-9]{2})','IoT',Canon,print server,match.group(1),'Unknown'
http,'(imageRUNNER\s[A-Z]?[0-9]{4})','IoT',Canon,printer,match.group(1),'Unknown'
ftp,'(imageRUNNER\s[A-Z]?[0-9]{4})','IoT',Canon,printer,match.group(1),'Unknown'
http,'(iP[F]?[0-9]{3}[0-9]?[A-Z]+?)','IoT',Canon,printer,match.group(1),'Unknown'
http,'(iR-[A-Z]+\s[A-Z][0-9]{4})','IoT',Canon,printer,match.group(1),'Unknown'
http,'(i-SENSYS\s[A-Z]{3}[0-9]{4})','IoT',Canon,printer,match.group(1),'Unknown'
http,'(MF[0-9]+\s?[Series]+?)','IoT',Canon,printer,match.group(1),'Unknown'
http,'(MF[0-9]+\s?[Series]+?)','IoT',Canon,printer,match.group(1),'Unknown'
http,'(VB-[A-Z][0-9]+)','IoT',Canon,webcam,match.group(1),'Unknown'
http,'(CB-[A-Z][0-9]+)','IoT',Canon,webcam,match.group(1),'Unknown'
http,'(WebView\s[A-Z]+[0-9]+)','IoT',Canon,webcam,match.group(1),'Unknown'
sip,'([Int\sTraffic]+?\s?10.3.[0-9.]+)','Unknown',Cantata,'Unknown',match.group(1),'Unknown'
http,'(DT-[0-9]{3}[A-Z])','IoT',Cerio,WAP,match.group(1),'Unknown'
http,'(Firewall-1\s[Client Authentication]+\s?[Server]+?)','Unknown',Check Point,firewall,match.group(1),'Unknown'
http,'(BF[0-9]{3})','IoT',CHIYU,ics device,match.group(1),'Unknown'
telnet,'(Cisco\s1721)','IoT',Cisco,router,match.group(1),'Unknown'
telnet,'(Cisco\s806)','IoT',Cisco,router,match.group(1),'Unknown'
http,'(CP-[0-9]{4}[A-Z]?)','IoT',Cisco,VoIP phone,match.group(1),'Unknown'
all,'(Cisco\s7940)','IoT',Cisco,IP Phone,match.group(1),'Unknown'
ftp,'(IP\sVCR\s[0-9]{4})','IoT',Cisco,video conference system,match.group(1),'Unknown'
telnet,'(MI[0-9]{3}[A-Z]{2})','IoT',Actiontec,router,match.group(1),'Unknown'
http,'(SPA[0-9]{3}[A-Z]?)','IoT',Cisco,VoIP adapter,match.group(1),'Unknown'
http,'(SPA[0-9]{3}[A-Z]?)','IoT',Cisco,VoIP Phone,match.group(1),'Unknown'
ftp,'(TANDBERG\sCodian\s[A-Z]+\s[A-Z]{2}\s[0-9]{4})','IoT',Cisco,video conference system,match.group(1),'Unknown'
ftp,'(TelePresence\sMCU\s[0-9]{4})','IoT',Cisco,videoconferencing bridge,match.group(1),'Unknown'
all,'(TelePresence\sMCU\s[0-9]{4})','IoT',Cisco,videoconferencing bridge,match.group(1),'Unknown'
http,'(CISCO\sWAP371)','IoT',Cisco,WAP,match.group(1),'Unknown'
rtsp,'(WVC[0-9]{2}[A-Z]{3})','IoT',Cisco,webcam,match.group(1),'Unknown'
telnet,'(CNU-[0-9]{3}[pro]+?)','IoT',C-motech,modem,match.group(1),'Unknown'
http,'(C54[A-Z]{4})','IoT',Conceptronic,WAP,match.group(1),'Unknown'
http,'(X-[0-9]{3})','IoT',Control By Web,remote management interface,match.group(1),'Unknown'
all,'(MBR[1-9]{4})','IoT',CradlePoint,broadband router,match.group(1),'Unknown'
all,'(DM-[A-Z0-9]+[x-]+[0-9]+[-]?[A-Z]?)','IoT',Crestron,automation system,match.group(1),'Unknown'
all,'(MP2E\sCntrl\sEng)','IoT',Crestron,automation system,match.group(1),'Unknown'
all,'(TSW[-][A-Z0-9]+[-]?[A-Z]+?)','IoT',Crestron,touch screen,match.group(1),'Unknown'
all,'(Dell\s[A-Z0-9a-z]+)','IoT',Dell,laser printer,match.group(1),'Unknown'
ftp,'(Dell\s[A-Z0-9a-z]+)','IoT',Dell,laser printer,match.group(1),'Unknown'
http,'(Dell\s[A-Z0-9a-z]+)','IoT',Dell,laster printer,match.group(1),'Unknown'
ftp,'(Dell\s[A-Z0-9a-z]+)','IoT',Dell,laser printer,match.group(1),'Unknown'
